method,size,shape,initial_previous_us,previous_us,candidate_us,speedup,repeat_previous_us,repeat_candidate_us,repeat_speedup,previous_bytes,candidate_bytes,native_us
SortCollectionParallel,1000,sorted,992.5,1003.9399999999999,6.1435,163.41499145438266,972.5,5.6425,172.35268054940187,,,
SortCollection,1000,shuffled,39.09069767441861,42.55225225225225,11.686305732484076,3.6412064878613455,39.939316239316234,10.151666666666666,3.9342619838433333,4024,8048,
SortCollectionParallel,1000,shuffled,43.31,36.564864864864866,11.684049079754601,3.1294686127450633,33.46013513513514,10.515337423312884,3.1820315210192693,,,
SortCollection,1000,duplicates,136.85000000000002,137.04444444444445,8.020386904761905,17.08701164566983,132.02162162162162,7.603314121037464,17.363694241743023,4024,8048,
SortCollectionParallel,1000,duplicates,123.87179487179488,122.37,7.8135,15.661355346515647,123.1825,7.32,16.82821038251366,,,
SortCollection,5000,sorted,24656,24491,37.18846153846154,658.5644844347916,23885.7,37.06859504132232,644.3648585378904,20024,40048,
SortCollectionParallel,5000,sorted,24750.5,24706.7,43.35443037974684,569.8771678832117,24197.5,41.608333333333334,581.5541758461846,,,
SortCollection,5000,shuffled,313.05333333333334,316.24666666666667,184.708,1.7121438522785515,310.7125,183.45555555555555,1.693666343649688,20024,40048,
SortCollectionParallel,5000,shuffled,270.5736842105263,273.40588235294115,139.671875,1.9574870198666778,270.6111111111111,133.73529411764707,2.0234831268479825,,,
SortCollection,5000,duplicates,3144.6,3090.7,51.06515151515152,60.52464172328872,3107,55.731428571428566,55.749512970368094,20024,40048,
SortCollectionParallel,5000,duplicates,2774.9,2788.9,53.108108108108105,52.513638676844785,2777,55.13709677419355,50.36536492613719,,,
